steps,loss/loss
10640,33.696258544921875
10678,50.638275146484375
10691,46.38029098510742
10728,41.6002082824707
10738,42.73531723022461
10763,27.71598243713379
10807,43.86761474609375
10828,32.35717010498047
10836,35.58770751953125
10861,32.68280792236328
10863,41.63800048828125
10880,39.70697021484375
10907,46.99458694458008
10916,41.20579147338867
10931,39.50653839111328
10977,37.96041488647461
10982,26.69891929626465
11031,31.676048278808594
11062,36.994014739990234
11076,42.488525390625
11084,43.194759368896484
11100,42.84813690185547
11179,33.33716583251953
11209,28.656261444091797
11216,32.351585388183594
11220,28.94009017944336
11261,38.9576301574707
11277,42.79877471923828
11290,42.96131134033203
11292,40.95432662963867
11308,39.248870849609375
11329,43.50345993041992
11331,37.334991455078125
11335,38.93418502807617
11336,45.135841369628906
11376,27.748220443725586
11400,26.80607032775879
11418,28.385183334350586
11442,38.185150146484375
11445,33.73400115966797
11457,32.97648620605469
11492,41.351776123046875
11505,46.053955078125
11537,40.598365783691406
11548,44.10392761230469
11587,34.52384948730469
11614,29.597110748291016
11691,34.710899353027344
11692,30.183698654174805
11694,40.9036979675293
11701,34.9687385559082
11707,37.6492805480957
11715,39.65435028076172
11724,39.25143051147461
11784,28.451072692871094
11804,27.31686782836914
11814,33.300811767578125
11815,31.046049118041992
11821,33.30272674560547
11869,35.36803436279297
11881,36.65790557861328
11886,36.62191390991211
11888,44.62171936035156
11901,36.27543258666992
11969,28.76481056213379
11983,39.110408782958984
11989,32.1885871887207
12048,26.932361602783203
12051,37.15308380126953
12068,39.17435073852539
12075,43.81319046020508
12111,49.571441650390625
12117,44.17621612548828
12129,37.56275177001953
12186,28.394363403320312
12212,39.24633026123047
12223,26.605758666992188
12232,32.27495574951172
12259,38.512386322021484
12275,46.1400146484375
12320,35.818634033203125
12326,32.97392272949219
12389,35.3770866394043
12411,27.705123901367188
12413,32.87424850463867
12418,35.024478912353516
12426,31.839632034301758
12435,29.66238021850586
12492,37.36115264892578
12546,37.1944694519043
12575,26.346994400024414
12581,22.965280532836914
12590,25.3023738861084
12625,25.753976821899414
12641,29.42582130432129
12672,27.650728225708008
12673,26.2086124420166
12691,37.828025817871094
12700,28.718238830566406
12732,39.4384651184082
12733,34.70749282836914
12739,34.401649475097656
12741,33.129859924316406
12745,29.01852035522461
12783,24.746559143066406
12845,33.847442626953125
