steps,input_info/rewards
39343,-39.20540237426758
39367,-38.99507141113281
39373,-37.44926071166992
39442,-41.62770462036133
39521,-37.99925231933594
39598,-36.80876541137695
39686,-37.31018829345703
39757,-39.28947067260742
39843,-39.03372573852539
39884,-37.3588752746582
39904,-38.0511360168457
39998,-40.431190490722656
40070,-41.78201675415039
40083,-42.58348846435547
40157,-42.02042770385742
40192,-41.32353210449219
40233,-43.14823913574219
40245,-37.765899658203125
40251,-39.78599166870117
40281,-41.64509582519531
40313,-41.121673583984375
40435,-38.794246673583984
40544,-40.19804382324219
40582,-37.47244644165039
40710,-43.21474075317383
40735,-40.588035583496094
40784,-38.74318313598633
40862,-44.5872917175293
40904,-43.6820182800293
41045,-38.544166564941406
41076,-39.723793029785156
41119,-31.774097442626953
41139,-35.71625900268555
41205,-41.5599365234375
41267,-40.31449890136719
41274,-38.29008102416992
41339,-37.37618637084961
41384,-35.225486755371094
41429,-38.94449996948242
41462,-38.99779510498047
41489,-36.583457946777344
41514,-34.447940826416016
41517,-38.88065719604492
41608,-34.36132049560547
41640,-35.1015510559082
41678,-36.72602844238281
41886,-40.026611328125
41933,-40.919586181640625
41951,-34.11487579345703
42010,-35.39225387573242
42165,-34.4293098449707
42212,-34.12990188598633
42356,-35.25114822387695
42542,-34.5528450012207
42544,-35.36677932739258
42703,-34.22679901123047
42875,-36.292816162109375
42883,-37.635833740234375
42897,-42.09745407104492
42909,-37.82967758178711
42981,-36.01890182495117
43126,-39.59527587890625
43198,-36.262367248535156
43202,-34.91114044189453
43213,-37.74046325683594
43501,-37.611873626708984
43568,-38.867950439453125
43627,-41.142242431640625
43657,-36.71432113647461
43685,-42.35054397583008
43744,-35.505950927734375
43753,-38.249122619628906
43903,-38.728538513183594
43911,-38.505828857421875
43917,-35.53443908691406
43980,-36.80394744873047
43995,-31.394466400146484
44095,-36.44739532470703
44102,-37.99323272705078
44312,-35.18903350830078
44346,-35.902862548828125
44418,-35.02467727661133
44432,-38.165618896484375
44489,-37.62049865722656
44515,-31.578147888183594
44535,-39.456417083740234
44629,-38.15448760986328
44685,-35.045799255371094
